,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,META230224C00035000,2023-01-20 17:25:43+00:00,35.0,103.39,107.8,109.05,0.0,0.0,2.0,1,2.0410205224609372,True,REGULAR,USD
1,META230224C00065000,2023-01-11 15:16:53+00:00,65.0,66.25,78.0,79.15,0.0,0.0,,1,1.3046909765624997,True,REGULAR,USD
2,META230224C00090000,2023-01-06 14:46:13+00:00,90.0,37.84,53.25,54.35,0.0,0.0,5.0,5,0.8984385156249999,True,REGULAR,USD
3,META230224C00095000,2023-01-20 19:38:09+00:00,95.0,44.87,48.4,49.4,0.0,0.0,1.0,5,0.8374039697265624,True,REGULAR,USD
4,META230224C00100000,2023-01-20 20:31:52+00:00,100.0,40.43,43.5,44.65,0.0,0.0,26.0,52,0.790041162109375,True,REGULAR,USD
5,META230224C00105000,2023-01-20 20:00:00+00:00,105.0,35.82,38.75,39.8,0.0,0.0,1.0,19,0.7402369726562499,True,REGULAR,USD
6,META230224C00106000,2023-01-20 20:35:13+00:00,106.0,34.82,37.8,38.85,0.0,0.0,13.0,13,0.7309597216796875,True,REGULAR,USD
7,META230224C00107000,2023-01-23 16:18:33+00:00,107.0,37.07,36.95,37.8,5.0099983,15.626944,2.0,3,0.7214383325195313,True,REGULAR,USD
8,META230224C00108000,2023-01-23 14:35:26+00:00,108.0,33.8,36.0,36.95,6.5999985,24.2647,80.0,12,0.7194852270507812,True,REGULAR,USD
9,META230224C00109000,2023-01-12 17:14:00+00:00,109.0,29.88,35.15,36.05,0.0,0.0,,2,0.7202176416015625,True,REGULAR,USD
10,META230224C00110000,2023-01-20 16:54:13+00:00,110.0,29.59,34.2,35.15,0.0,0.0,1.0,4,0.7126493579101563,True,REGULAR,USD
11,META230224C00111000,2023-01-20 15:48:33+00:00,111.0,27.42,33.15,34.2,0.0,0.0,4.0,6,0.6940948559570312,True,REGULAR,USD
12,META230224C00112000,2023-01-23 16:51:42+00:00,112.0,31.95,32.3,33.25,4.450001,16.18182,2.0,6,0.6892120922851563,True,REGULAR,USD
13,META230224C00114000,2023-01-19 15:41:47+00:00,114.0,24.44,30.5,31.5,0.0,0.0,1.0,1,0.6804231176757813,True,REGULAR,USD
14,META230224C00115000,2023-01-23 17:29:11+00:00,115.0,29.4,29.8,30.55,2.539999,9.456437,2.0,9,0.6821320849609377,True,REGULAR,USD
15,META230224C00116000,2023-01-20 20:31:52+00:00,116.0,26.13,28.9,29.5,0.0,0.0,3.0,11,0.6657748266601564,True,REGULAR,USD
16,META230224C00117000,2023-01-19 20:31:40+00:00,117.0,22.97,28.05,28.55,0.0,0.0,3.0,5,0.6575961975097657,True,REGULAR,USD
17,META230224C00118000,2023-01-20 15:30:33+00:00,118.0,23.0,27.2,27.7,0.0,0.0,1.0,8,0.6540561938476563,True,REGULAR,USD
18,META230224C00119000,2023-01-18 16:07:02+00:00,119.0,19.38,26.35,26.9,0.0,0.0,1.0,2,0.6523472265625001,True,REGULAR,USD
19,META230224C00120000,2023-01-23 20:23:56+00:00,120.0,25.44,25.5,26.05,5.3999996,26.946104,41.0,57,0.6470982556152343,True,REGULAR,USD
20,META230224C00121000,2023-01-19 14:30:13+00:00,121.0,16.46,24.6,25.15,0.0,0.0,3.0,33,0.6364782446289063,True,REGULAR,USD
21,META230224C00122000,2023-01-18 20:21:18+00:00,122.0,16.81,23.95,24.25,0.0,0.0,10.0,16,0.6367223828125,True,REGULAR,USD
22,META230224C00123000,2023-01-17 16:45:24+00:00,123.0,16.75,23.1,23.4,0.0,0.0,4.0,26,0.6293982373046876,True,REGULAR,USD
23,META230224C00124000,2023-01-20 19:56:08+00:00,124.0,19.49,22.3,22.6,0.0,0.0,1.0,57,0.6254920263671876,True,REGULAR,USD
24,META230224C00125000,2023-01-20 19:56:08+00:00,125.0,18.72,21.5,21.8,0.0,0.0,1.0,46,0.6208534008789064,True,REGULAR,USD
25,META230224C00126000,2023-01-23 18:57:06+00:00,126.0,20.37,20.7,21.0,5.380001,35.8906,14.0,192,0.6154823608398439,True,REGULAR,USD
26,META230224C00127000,2023-01-23 18:36:41+00:00,127.0,19.86,19.95,20.25,4.01,25.299686,1.0,117,0.6130409790039064,True,REGULAR,USD
27,META230224C00128000,2023-01-12 17:01:46+00:00,128.0,15.13,19.1,19.5,0.0,0.0,12.0,19,0.6059609716796877,True,REGULAR,USD
