,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,META230224P00060000,2023-01-10 18:32:52+00:00,60.0,0.07,0.0,0.05,0.0,0.0,,1,1.0468797656250002,False,REGULAR,USD
1,META230224P00065000,2023-01-09 20:47:05+00:00,65.0,0.1,0.0,0.05,0.0,0.0,,1,0.9531254687499999,False,REGULAR,USD
2,META230224P00070000,2023-01-12 20:56:20+00:00,70.0,0.09,0.01,0.07,0.0,0.0,,43,0.914063359375,False,REGULAR,USD
3,META230224P00075000,2023-01-23 15:26:41+00:00,75.0,0.06,0.04,0.1,-0.040000003,-40.000004,1.0,116,0.8886729882812499,False,REGULAR,USD
4,META230224P00080000,2023-01-19 15:56:48+00:00,80.0,0.14,0.06,0.12,0.0,0.0,1.0,15,0.8320329296874999,False,REGULAR,USD
5,META230224P00085000,2023-01-20 14:48:29+00:00,85.0,0.19,0.09,0.14,0.0,0.0,10.0,57,0.77929908203125,False,REGULAR,USD
6,META230224P00090000,2023-01-23 15:33:45+00:00,90.0,0.2,0.15,0.19,-0.059999987,-23.07692,1.0,482,0.7421900781249999,False,REGULAR,USD
7,META230224P00095000,2023-01-23 19:46:41+00:00,95.0,0.29,0.23,0.27,-0.099999994,-25.641024,6.0,95,0.7070341796875,False,REGULAR,USD
8,META230224P00100000,2023-01-23 20:30:21+00:00,100.0,0.39,0.36,0.4,-0.22000003,-36.06558,41.0,250,0.6777375976562501,False,REGULAR,USD
9,META230224P00105000,2023-01-23 20:23:21+00:00,105.0,0.61,0.56,0.6,-0.26999998,-30.681816,39.0,183,0.6528355029296876,False,REGULAR,USD
10,META230224P00106000,2023-01-23 15:27:32+00:00,106.0,0.76,0.6,0.65,-0.21000004,-21.649487,3.0,142,0.6469761865234375,False,REGULAR,USD
11,META230224P00107000,2023-01-23 15:41:33+00:00,107.0,0.79,0.65,0.71,-0.29000002,-26.851854,1.0,57,0.6420934228515626,False,REGULAR,USD
12,META230224P00108000,2023-01-23 14:39:39+00:00,108.0,1.06,0.71,0.77,-0.62,-36.904762,3.0,125,0.637698935546875,False,REGULAR,USD
